frame,latency_ms
209,1.790005
210,1.764531
211,1.784501
212,1.804695
213,1.73733
214,1.803895
215,1.742866
216,1.747027
217,1.736338
218,1.780052
219,1.73509
220,1.720081
221,1.802326
222,1.743826
223,1.75634
224,1.730065
225,1.748306
226,1.721489
227,1.732914
228,1.765812
229,1.786677
230,1.902556
231,1.848857
232,1.814007
233,1.746034
234,1.789525
235,1.782197
236,1.795125
237,1.763955
238,1.755891
239,1.744787
240,1.774548
241,1.791061
242,1.692335
243,1.781653
244,1.732338
245,1.770004
246,1.80047
247,1.784501
248,1.769013
249,1.79631
250,1.772852
251,1.727441
252,1.742835
253,1.753779
254,1.735314
255,1.755603
256,1.73045
257,1.767828
258,1.922974
259,1.863834
260,1.745459
261,1.79311
262,1.757172
263,1.704656
264,1.758035
265,1.744754
266,1.776245
267,1.737938
268,1.777908
269,1.736338
270,1.766004
271,1.750099
272,1.742035
273,1.801814
274,1.743123
275,1.770292
276,1.720881
277,1.793366
278,1.734226
279,1.77058
280,1.725202
281,1.729873
282,1.760307
283,1.736434
284,1.804822
285,1.762067
286,1.781845
287,1.735346
288,1.74389
289,1.783285
290,1.756723
291,1.827768
292,1.76674
293,1.778517
294,1.725745
295,1.785717
296,1.77058
297,1.765075
298,1.787093
299,1.73365
300,1.803767
301,1.706896
302,1.798934
303,1.713872
304,1.759635
305,1.76482
306,1.739827
307,1.793334
308,1.719473
309,1.851546
310,1.754003
311,1.788374
312,1.724081
313,1.803511
314,1.770772
315,1.738003
316,1.77586
317,1.739858
318,1.724081
319,1.686702
320,1.769108
321,1.727825
322,1.741298
323,1.771668
324,1.738866
325,1.776437
326,1.732306
327,1.779445
328,1.746771
329,1.753299
330,1.743987
331,1.737394
332,1.779509
333,1.731281
334,1.780181
335,1.771988
336,1.758996
337,1.753683
338,1.803831
339,1.720785
340,1.725906
341,1.767316
342,1.730386
343,1.88902
344,1.744787
345,1.802838
346,1.792757
347,1.790709
348,1.729778
349,1.721905
350,1.790325
351,1.742451
352,1.765844
353,1.725777
354,1.786037
355,1.736882
356,1.729234
357,1.75794
358,1.732594
359,1.79135
360,1.740018
361,1.772725
362,1.758483
363,1.828344
364,1.772788
365,1.748466
366,1.801366
367,1.754355
368,1.830744
369,1.854074
370,1.868635
371,1.883228
372,1.972065
373,1.826263
374,1.792725
375,1.767412
376,1.818807
377,1.762643
378,1.729969
379,1.79759
380,1.734994
381,1.7693
382,1.731218
383,1.798038
384,1.759636
385,1.73621
386,1.791062
387,1.717745
388,1.764756
389,1.706608
390,1.76994
391,1.719857
392,1.748691
393,1.734514
394,1.681999
395,1.728305
396,1.751283
397,1.786389
398,1.756724
399,1.757011
400,1.759796
401,1.72629
402,1.739794
403,1.746259
404,1.770996
405,1.739922
406,1.746003
407,1.728785
408,1.76898
409,1.719313
410,1.69992
411,1.747795
412,1.700496
413,1.719473
414,1.729458
415,1.779061
416,1.740818
417,1.719441
418,1.85513
419,1.741874
420,1.759732
421,1.737394
422,1.763956
423,1.774517
424,1.744946
425,1.719121
426,1.734866
427,1.784949
428,1.711377
429,1.779861
430,1.765844
431,1.739922
432,1.67547
433,1.704624
434,1.777141
435,1.699344
436,1.763156
437,1.753875
438,1.785621
439,1.705296
440,1.765908
441,1.734994
442,1.690895
443,1.778261
444,1.764436
445,1.845754
446,1.758643
447,1.782389
448,1.741874
449,1.719985
450,1.767316
451,1.729585
452,1.788533
453,1.744019
454,1.762388
455,1.721937
456,1.836921
457,1.887932
458,1.806295
459,1.78703
460,1.740306
461,1.765236
462,1.73045
463,1.74021
464,1.725457
465,1.796534
466,1.746067
467,1.730642
468,1.766452
469,1.723666
470,1.758227
471,1.751859
472,1.77586
473,1.712432
474,1.741779
475,1.759795
476,1.764243
477,1.801462
478,1.728178
479,1.738802
480,1.752211
481,1.781237
482,1.754643
483,1.760692
484,1.792182
485,1.760883
486,1.914749
487,1.788821
488,1.767764
489,1.756147
490,1.765716
491,1.725266
492,1.737362
493,1.784597
494,1.710768
495,1.756755
496,1.751571
497,1.748979
498,1.720241
499,1.761908
500,1.741714
