time_s,loop,loop_dt_ms,inference_ms,state_tick,enabled,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788444680.0485802,11,84.33204700122587,25.147815998934675,9110413,1,0.0,0.0,0.0,-0.021141052,0.64619124,-1.3859576,0.035159647,0.64563024,-1.3933824,-0.03928247,0.63829184,-1.4097953,0.033681214,0.6456492,-1.4063833,33.981136,30.772839,-38.226715,-14.544568,-0.023253143,-0.027128667,0.028308174,0.046506286,-0.023253143,-0.042462263,-0.03100419,-0.065883905,-0.026286162,-0.034879714,-0.011626571,-0.0080880495,0.0,0.023253143,-0.03100419,0.015502095,-0.029240238,0.6070339,-1.2520549,0.0053490554,0.7036587,-1.3022681,0.041073598,0.7264484,-1.2238073,0.004448323,0.69420284,-1.235717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5723262,-6.4478674,-2.2793636,-8.159406,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.165379,12,114.693786999851,36.3856650001253,9110499,1,0.0,0.0,0.0,-0.021171331,0.64728117,-1.3859419,0.035129372,0.646478,-1.3933508,-0.039221913,0.6393515,-1.4097795,0.033620656,0.64661807,-1.4063674,33.981167,30.77287,-38.226624,-14.544447,0.0,0.0077510476,0.036396224,0.0077510476,0.0,0.04044025,0.011626571,-0.0077510476,0.016176099,-0.12401676,0.05813286,-0.020220125,0.015502095,0.04263076,0.015502095,0.015502095,-0.027368851,0.5980047,-1.2489489,0.009868639,0.70590883,-1.2977272,0.039072506,0.7243457,-1.2364845,0.0021402827,0.6953625,-1.2343659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7536879,-6.5490413,-2.3118606,-8.254634,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.26833,13,97.85399099928327,32.000201999835554,9110617,1,0.0,0.0,0.0,-0.02120161,0.64788675,-1.3859576,0.035159647,0.64711386,-1.3933666,-0.03925219,0.6399571,-1.4097953,0.033620656,0.64728415,-1.4063517,33.981167,30.77287,-38.226593,-14.544356,-0.06200838,0.0,0.020220125,0.0,0.011626571,0.020220125,-0.03100419,0.038755238,-0.020220125,-0.06200838,-0.019377619,-0.0020220124,0.0038755238,0.015502095,0.0,0.027128667,-0.029395588,0.5992539,-1.2409402,0.009639403,0.7059212,-1.3006909,0.040283084,0.7284793,-1.2414978,0.0036878819,0.6918684,-1.2306386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.954556,-6.6738424,-2.3019052,-8.338643,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.3243136,14,54.58185800125648,19.59320000059961,9110717,1,0.0,0.0,0.0,-0.021110773,0.64758396,-1.3859576,0.035220206,0.6469322,-1.3933824,-0.039221913,0.639624,-1.4098111,0.033650935,0.64716303,-1.4063674,33.981136,30.772839,-38.226654,-14.544387,0.023253143,-0.06975943,0.030330187,0.08913705,0.046506286,-0.022242136,0.03100419,-0.03100419,-0.022242136,-0.038755238,0.038755238,-0.020220125,-0.023253143,-0.0038755238,0.034879714,0.023253143,-0.028933568,0.5999722,-1.2355311,0.008620596,0.71350706,-1.3085381,0.043069452,0.7302057,-1.2356158,0.0038282005,0.69478804,-1.2355306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1801572,-6.848891,-2.241751,-8.230211,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.3841853,15,58.706026000436395,17.175814999063732,9110773,1,0.0,0.0,0.0,-0.021171331,0.6476445,-1.3859576,0.035068817,0.6468716,-1.3933824,-0.039221913,0.63971484,-1.4098111,0.033650935,0.6470419,-1.4063674,33.981136,30.772808,-38.226624,-14.544356,0.015502095,-0.015502095,0.0020220124,-0.05813286,0.038755238,-0.0080880495,0.0038755238,0.0077510476,-0.010110063,-0.06200838,0.0,-0.020220125,-0.019377619,-0.011626571,0.0,0.081386,-0.029736143,0.60120094,-1.2399554,0.007480306,0.71181023,-1.309603,0.044420615,0.728979,-1.2368271,0.0048254724,0.6953458,-1.2416464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.379562,-7.110954,-2.1807704,-8.148868,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.4820592,16,93.8684220000141,40.18885500045144,9110835,1,0.0,0.0,0.0,-0.021141052,0.6476748,-1.3859576,0.035129372,0.64696246,-1.3933666,-0.03925219,0.6397451,-1.4097953,0.033681214,0.64713275,-1.4063674,33.981136,30.77287,-38.226685,-14.544387,-0.0038755238,-0.015502095,0.014154087,-0.023253143,0.05813286,0.012132075,-0.038755238,-0.015502095,0.014154087,0.0,-0.0038755238,-0.026286162,-0.034879714,0.034879714,-0.027128667,-0.015502095,-0.029539643,0.6029402,-1.2486858,0.0056429184,0.7111842,-1.3073982,0.04465296,0.7232728,-1.2280972,0.0054368386,0.699208,-1.2463186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5131357,-7.1652265,-2.1263208,-8.097182,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.5440688,17,60.8590429983451,21.580894999715383,9110929,1,0.0,0.0,0.0,-0.021141052,0.6476445,-1.3859576,0.035129372,0.64696246,-1.3933666,-0.03925219,0.6397754,-1.4097953,0.033681214,0.6471025,-1.4063674,33.981136,30.772839,-38.226715,-14.544356,0.0077510476,-0.04263076,0.020220125,-0.0077510476,0.077510476,0.026286162,-0.03100419,0.038755238,0.022242136,-0.027128667,-0.015502095,-0.0060660373,-0.011626571,-0.019377619,0.0,0.077510476,-0.030435037,0.6095012,-1.2541239,0.004267899,0.7063118,-1.3046954,0.045210555,0.7242872,-1.2221643,0.007481425,0.70045996,-1.2501493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5127225,-7.261142,-2.0778592,-8.04734,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.6178832,18,72.69289400028356,23.61819399993692,9110991,1,0.0,0.0,0.0,-0.021141052,0.6475234,-1.3859735,0.035159647,0.6469019,-1.3933666,-0.03925219,0.6395937,-1.4098111,0.033650935,0.6470722,-1.4063833,33.98111,30.77287,-38.226746,-14.544387,-0.019377619,-0.05813286,0.0080880495,0.0,0.054257333,0.02426415,0.0,-0.0038755238,0.012132075,-0.05813286,0.038755238,-0.028308174,-0.038755238,-0.05813286,-0.038755238,-0.0038755238,-0.032870132,0.6150531,-1.2516894,0.0025555738,0.7016724,-1.3079326,0.047047652,0.72868943,-1.2190868,0.009840283,0.6966332,-1.2540271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4270551,-7.2036114,-2.149425,-8.090909,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.7203689,19,100.41768699920794,38.50924099970143,9111067,1,0.0,0.0,0.0,-0.021171331,0.6475234,-1.3859735,0.035129372,0.64681107,-1.3933824,-0.03925219,0.6395937,-1.4098269,0.033650935,0.6469511,-1.4063833,33.981136,30.77287,-38.226715,-14.544356,-0.011626571,-0.03100419,0.0,0.0,-0.0038755238,0.010110063,0.019377619,0.0077510476,0.0,-0.05813286,-0.027128667,-0.020220125,-0.0038755238,0.038755238,-0.023253143,0.023253143,-0.033098474,0.616624,-1.2494576,0.002414933,0.70325124,-1.3109812,0.04764726,0.73390603,-1.2199203,0.010230731,0.69433683,-1.2510997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3801663,-7.160096,-2.1151662,-8.157265,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788444680.798861,20,76.24928599943814,24.374651999096386,9111167,1,0.0,0.0,0.0,-0.021171331,0.6475537,-1.3859893,0.035129372,0.6468716,-1.3933824,-0.03928247,0.6395937,-1.4098111,0.033650935,0.6470419,-1.4063833,33.98111,30.77287,-38.226715,-14.544356,0.019377619,-0.038755238,-0.0080880495,-0.019377619,0.05813286,0.012132075,0.08526152,-0.015502095,0.026286162,-0.04263076,0.04263076,-0.022242136,-0.11239019,0.038755238,0.04263076,0.038755238,-0.032527026,0.6108999,-1.2426131,0.0033642673,0.7043148,-1.3160872,0.046655476,0.73159754,-1.2208264,0.009073845,0.69503087,-1.253646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1916583,-7.0641594,-2.1748407,-8.21316,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
