time_s,loop,loop_dt_ms,inference_ms,state_tick,enabled,warmup,cmd_vx,cmd_vy,cmd_vyaw,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,q_13,q_14,q_15,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,dq_10,dq_11,dq_12,dq_13,dq_14,dq_15,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,v_0,v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kd_0,kd_1,kd_2,kd_3,kd_4,kd_5,kd_6,kd_7,kd_8,kd_9,kd_10,kd_11,kd_12,kd_13,kd_14,kd_15
1788509562.7907915,11,3.9380040002470196,2.2242079999159614,2914135,0,1,0.0,0.0,0.0,-0.05041945,0.62713087,-1.4037924,0.06289387,0.63227785,-1.4041085,-0.0742833,0.6791967,-1.3871583,0.05605626,0.6829814,-1.375974,-4.7374945,-12.137322,22.363863,34.791607,0.038755238,0.046506286,0.0,0.04263076,0.015502095,-0.028308174,-0.027128667,-0.0077510476,0.0080880495,-0.08913705,0.0077510476,0.010110063,0.027128667,0.09301257,0.015502095,0.011626571,-0.043643966,0.57857543,-1.2384688,0.019418508,0.6633578,-1.2586828,0.010209126,0.71661896,-1.2420778,0.007354524,0.69931924,-1.2327096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7738825,-5.954556,0.18066633,-5.8449893,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.8107827,12,3.929171999971004,2.2153439999783586,2914155,0,1,0.0,0.0,0.0,-0.05044973,0.62713087,-1.4037766,0.06283331,0.63224757,-1.4041085,-0.07425302,0.67928755,-1.3871583,0.05605626,0.6829511,-1.375974,-4.737525,-12.137383,22.363832,34.791576,0.027128667,0.015502095,0.020220125,0.038755238,0.038755238,-0.030330187,-0.034879714,0.054257333,0.020220125,-0.038755238,-0.019377619,-0.020220125,-0.015502095,-0.019377619,-0.054257333,-0.0038755238,-0.04188043,0.5744149,-1.2392517,0.022121664,0.67244023,-1.2587786,0.010270622,0.7159229,-1.2427117,0.0046768123,0.70243615,-1.2276344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9979486,-5.9697857,0.24020998,-5.863979,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.8307638,13,3.907827000148245,2.1923659996900824,2914175,0,1,0.0,0.0,0.0,-0.05044973,0.62716115,-1.4037766,0.06280304,0.6322173,-1.4041244,-0.07425302,0.6793481,-1.3871583,0.05608654,0.6829511,-1.375974,-4.7374945,-12.137322,22.363832,34.791576,0.09301257,-0.0077510476,-0.0040440247,-0.0077510476,0.03100419,-0.0485283,-0.10851467,0.034879714,0.02426415,-0.038755238,0.038755238,0.010110063,0.023253143,0.07363495,-0.046506286,0.011626571,-0.04208933,0.5757341,-1.2319318,0.021394107,0.6717721,-1.2627283,0.011424421,0.72020316,-1.2453226,0.0058337827,0.6986825,-1.2317405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1901255,-6.134002,0.2912384,-5.7406526,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.850765,14,3.9124999998421117,2.2278229998846655,2914195,0,1,0.0,0.0,0.0,-0.05044973,0.62713087,-1.4037766,0.06286359,0.63224757,-1.4040928,-0.07422274,0.67928755,-1.3871583,0.05608654,0.6829511,-1.375974,-4.7374945,-12.137353,22.363863,34.791576,0.06200838,-0.038755238,0.016176099,0.038755238,0.03100419,0.014154087,-0.019377619,-0.019377619,0.020220125,-0.054257333,0.034879714,0.010110063,0.011626571,0.034879714,0.0038755238,-0.0038755238,-0.04363385,0.5759394,-1.2281661,0.019707184,0.67106014,-1.2699182,0.014243994,0.7214012,-1.245272,0.006449907,0.6970184,-1.2399665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3246393,-6.295416,0.2957864,-5.671217,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.8707762,15,3.9230590000443044,2.2014229998603696,2914215,0,1,0.0,0.0,0.0,-0.05041945,0.6271006,-1.4037924,0.06289387,0.63227785,-1.4040928,-0.07425302,0.6791967,-1.3871583,0.055995703,0.6829814,-1.3760056,-4.737525,-12.137353,22.363832,34.791607,0.038755238,-0.027128667,-0.0020220124,0.034879714,0.015502095,0.0080880495,-0.03100419,-0.038755238,0.02426415,-0.13951886,0.0,-0.0485283,-0.05813286,0.03100419,-0.038755238,0.019377619,-0.043901294,0.57849973,-1.2340969,0.017916985,0.6742409,-1.2653542,0.013888567,0.7194225,-1.2415488,0.0064659924,0.70245445,-1.2442768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4912322,-6.370345,0.32451534,-5.5738773,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.890778,16,3.9217160001498996,2.2958889999245002,2914235,0,1,0.0,0.0,0.0,-0.05041945,0.6271006,-1.4037924,0.06283331,0.63227785,-1.4041085,-0.0742833,0.6791967,-1.387174,0.05608654,0.6829814,-1.3759898,-4.737525,-12.137383,22.363832,34.791576,0.046506286,-0.0077510476,0.0,-0.046506286,0.05813286,-0.022242136,-0.06975943,-0.015502095,-0.014154087,0.034879714,0.015502095,-0.030330187,-0.038755238,-0.019377619,-0.054257333,-0.023253143,-0.044469573,0.58317786,-1.243128,0.016497767,0.67198664,-1.2663602,0.014423162,0.7169645,-1.2331706,0.008871345,0.70287365,-1.2415346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5924232,-6.4475937,0.38464582,-5.5190487,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.9107733,17,3.9228669998010446,2.290128999902663,2914255,0,1,0.0,0.0,0.0,-0.050510287,0.62713087,-1.4037766,0.06280304,0.6322173,-1.4041085,-0.07422274,0.67928755,-1.387174,0.05605626,0.6829511,-1.375974,-4.7374945,-12.137353,22.363863,34.791607,-0.023253143,-0.034879714,0.016176099,0.019377619,0.0,-0.02426415,-0.0077510476,-0.038755238,-0.0080880495,-0.046506286,0.015502095,0.0080880495,-0.038755238,0.08526152,0.0038755238,0.038755238,-0.045522317,0.5897519,-1.2443001,0.015840301,0.6656227,-1.2633162,0.0144863045,0.7222807,-1.2333443,0.010465623,0.6994962,-1.2427826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6224158,-6.6024666,0.43170172,-5.494851,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.9307795,18,3.9250439999705122,2.2252320000006875,2914275,0,1,0.0,0.0,0.0,-0.050510287,0.62716115,-1.4037608,0.06283331,0.63224757,-1.4040928,-0.07422274,0.67928755,-1.3871583,0.05605626,0.6829208,-1.375974,-4.737555,-12.137353,22.363863,34.791607,0.015502095,0.0,0.052572325,0.05813286,0.05813286,0.012132075,-0.03100419,-0.038755238,0.016176099,-0.054257333,0.0,0.0020220124,-0.08913705,0.046506286,0.0077510476,0.04263076,-0.04661577,0.5878091,-1.2386215,0.014503812,0.6598902,-1.266772,0.015182132,0.72278607,-1.2302794,0.012646393,0.6957047,-1.2465224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3942354,-6.5514603,0.36918736,-5.5194497,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.9507725,19,3.9201470003717986,2.2173600000314764,2914294,0,1,0.0,0.0,0.0,-0.05044973,0.6271006,-1.4037924,0.06286359,0.63224757,-1.4040928,-0.0742833,0.6792573,-1.387174,0.056025982,0.6829511,-1.375974,-4.737555,-12.137353,22.363863,34.791607,0.06975943,-0.054257333,-0.0040440247,0.038755238,-0.038755238,0.0060660373,-0.065883905,-0.027128667,-0.010110063,-0.038755238,-0.019377619,0.0020220124,-0.09301257,0.027128667,0.0,0.03100419,-0.04637852,0.58758974,-1.2351177,0.013892291,0.6661957,-1.2708321,0.015776128,0.7238711,-1.2292845,0.011378523,0.6971291,-1.2453089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4103906,-6.4864655,0.38370687,-5.527087,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
1788509562.9707873,20,3.9378120000037597,2.166766000300413,2914315,0,1,0.0,0.0,0.0,-0.05044973,0.6271006,-1.4037924,0.06286359,0.6323081,-1.4040928,-0.07425302,0.679227,-1.387174,0.056025982,0.68301165,-1.3759898,-4.737525,-12.137322,22.363802,34.791607,-0.015502095,-0.011626571,0.0020220124,0.0,-0.011626571,-0.0020220124,0.019377619,0.011626571,-0.0080880495,-0.03100419,0.038755238,-0.016176099,0.027128667,0.09301257,-0.08526152,0.023253143,-0.045529895,0.5848224,-1.2363234,0.016237415,0.66795206,-1.2675174,0.014262953,0.72122824,-1.2326072,0.009538856,0.6994905,-1.2447553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.423078,-6.462979,0.35770953,-5.604657,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
